"tag","country_name","historical_system_type","current_land_units","current_land_manpower","historical_standing_low","historical_standing_high","historical_effective_anchor","garrison_adjustment","standing_representation_factor","factor_rationale","target_land_units_low","target_land_units_high","target_land_units_recommended","target_infantry","target_cavalry","target_artillery","target_other","composition_source","composition_confidence","target_barracks_levels","historical_mobilization_type","target_mobilization_capacity","mobilization_model","current_to_target_delta","structural_defer","structural_resolution","tech_dependent_review_later","conversion_confidence","research_status","notes","recommended_formation_count"
"TUR","Ottoman Empire","CENTRAL_CORPS_PLUS_PROVINCIAL_MOBILIZATION","78","78000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; central/garrison core separated from provincial and warrior mobilization.","55","75","65","43","17","5","0","REGIONAL_MODEL","MEDIUM","65","PROVINCIAL_TRIBAL_CONTINGENTS","150","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-13","NO","","YES","LOW","QUALITATIVE_ONLY","The 1768–74 war ended only in 1774, so campaign peaks must not be frozen into a Jan-1776 standing army. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; central/garrison core separated from provincial and warrior mobilization.","4"
"TUS","Tuscany","EUROPEAN_REGULAR_STATE","8","8000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","5","9","7","5","1","1","0","REGIONAL_MODEL","LOW","7","MILITIA_RESERVE","4","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"UBD","United Baltic Provinces","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","6","6000","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","REGIONAL_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","ALLOCATE_FROM_OVERLORD_POOL","","YES","ALLOCATE_FROM_OVERLORD_POOL","YES","VERY_LOW","STRUCTURAL_DEFER","United Baltic Provinces abstraction must be reconciled with Russian imperial military structures. Numeric independent-force target withheld pending structural/map resolution.",""
"UNT","United Tribes","STRUCTURAL_OR_IMPERIAL_DEPENDENCY","0","0","","","","Handled by structural resolution","","Numeric independent-force target withheld pending structural/map resolution.","","","","","","","","QUALITATIVE_MODEL","VERY_LOW","","MILITIA_LEVY_OR_LOCAL_OBLIGATION","","LOCAL_MILITIA_ONLY","","YES","LOCAL_MILITIA_ONLY","YES","VERY_LOW","STRUCTURAL_DEFER","Structural/dependency problem: do not create an independent national standing army merely from the current fork tag. Requires 2D-2 mapping decision before numbers. Numeric independent-force target withheld pending structural/map resolution.",""
"USA","America","REVOLUTIONARY_CONTINENTAL_PLUS_MILITIA","164","164000","18000","21000","18410 effective / 20372 planned","Standing core excludes militia/levy; garrison burden included in modeled range","0,952","Continental core only; state militia, Flying Camp and short-term service are mobilization.","18","21","20","17","2","1","0","REGIONAL_MODEL","MEDIUM","20","STATE_MILITIA_SHORT_TERM_SERVICE","80","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-144","NO","","YES","HIGH","QUANTITATIVE_HIGH_CONFIDENCE","Current fork 164,000 standing V3 manpower is far above the documented Continental establishment and likely folds militia into standing units. Continental core only; state militia, Flying Camp and short-term service are mobilization.","1"
"UZH","Uly Zhuz","HOUSEHOLD_CORE_PLUS_TRIBAL_CONFEDERAL_LEVY","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","0","0","0","0","0","0","QUALITATIVE_MODEL","LOW","0","TRIBAL_CONFEDERAL_LEVY","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","Confederal/tribal mobilization is not directly comparable with a European standing army; qualitative-only unless a near-date establishment survives. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0"
"VEN","Venice","EUROPEAN_REGULAR_STATE","12","12000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","8","14","11","8","2","1","0","REGIONAL_MODEL","LOW","11","MILITIA_RESERVE","6","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","-1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"WAD","Wadai","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","QUALITATIVE_MODEL","LOW","4","MILITIA_LEVY_OR_LOCAL_OBLIGATION","12","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","4","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"WAL","Wallachia","EUROPEAN_REGULAR_STATE","4","4000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","3","5","4","3","1","0","0","REGIONAL_MODEL","LOW","4","MILITIA_RESERVE","2","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"WBL","Griqualand","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_LEVY_OR_LOCAL_OBLIGATION","3","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"WEI","Saxe-Weimar-Eisenach","EUROPEAN_REGULAR_STATE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"WLD","Waldeck","EUROPEAN_REGULAR_STATE","1","1000","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","REGIONAL_MODEL","LOW","1","MILITIA_RESERVE","0","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","0","NO","","YES","LOW","QUALITATIVE_ONLY","No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
"WSG","Warsangali","COURT_CORE_PLUS_TRIBUTARY_CAMPAIGN_FORCE","0","0","","","","Standing core excludes militia/levy; garrison burden included in modeled range","","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","0","2","1","1","0","0","0","QUALITATIVE_MODEL","LOW","1","MILITIA_LEVY_OR_LOCAL_OBLIGATION","3","Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.","1","NO","","YES","LOW","QUALITATIVE_ONLY","Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts. MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","1"
